Ex3
b)	str0:			|	str1:			|	str2:
	Endereço	Valor	|	Endereço	Valor	|	Endereço	Valor
	0x10010000	0x6f	|	0x10010004	0x53	|	0x10010014	0x41
	0x10010000	0x6c	|	0x10010004	0x6f	|	0x10010014	0x43
	0x10010000	0x61	|	0x10010004	0x20	|	0x10010014	0x31
	0x10010000	0x00	|	0x10010004	0x70	|	0x10010014	0x20
				|	0x10010008	0x61	|	0x10010018	0x13
				|	0x10010008	0x72	|	0x10010018	0x20
				|	0x10010008	0x61	|	0x10010018	0x50
				|	0x10010008	0x20	|	0x10010018	0x00
				|	0x1001000c	0x63	|
				|	0x1001000c	0x68	|
				|	0x1001000c	0x61	|
				|	0x1001000c	0x74	|
				|	0x10010010	0x65	|
				|	0x10010010	0x61	|
				|	0x10010010	0x72	|
				|	0x10010010	0x00	|
