Ex1
b)	Foi introduzido: ACI - 2019
	Endereço de	Endereço de	str[i]	i	num
	str($t2)	str[i]($t3)	($t4)	($t1)	($t0)
	0		0		0	0	0
	0		0		0	0	0
	0		0		0	0	0
	10010000	0		0	0	0
	10010000	10010000	0	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	0	0
	10010000	10010000	41	1	0
	10010000	10010000	41	1	0
	10010000	10010000	41	1	0
	10010000	10010000	41	1	0
	10010000	10010001	41	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	1	0
	10010000	10010001	43	2	0
	10010000	10010001	43	2	0
	10010000	10010001	43	2	0
	10010000	10010002	43	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	2	0
	10010000	10010002	49	3	0
	10010000	10010002	49	3	0
	10010000	10010002	49	3	0
	10010000	10010002	49	3	0
	10010000	10010003	49	3	0
	10010000	10010003	20	3	0
	10010000	10010003	20	3	0
	10010000	10010003	20	3	0
	10010000	10010003	20	3	0
	10010000	10010003	20	3	0
	10010000	10010003	20	4	0
	10010000	10010003	20	4	0
	10010000	10010003	20	4	0
	10010000	10010003	20	4	0
	10010000	10010004	20	4	0
	10010000	10010004	2d	4	0
	10010000	10010004	2d	4	0
	10010000	10010004	2d	4	0
	10010000	10010004	2d	4	0
	10010000	10010004	2d	4	0
	10010000	10010004	2d	5	0
	10010000	10010004	2d	5	0
	10010000	10010004	2d	5	0
	10010000	10010004	2d	5	0
	10010000	10010005	2d	5	0
	10010000	10010005	20	5	0
	10010000	10010005	20	5	0
	10010000	10010005	20	5	0
	10010000	10010005	20	5	0
	10010000	10010005	20	5	0
	10010000	10010005	20	6	0
	10010000	10010005	20	6	0
	10010000	10010005	20	6	0
	10010000	10010005	20	6	0
	10010000	10010006	20	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	0
	10010000	10010006	32	6	1
	10010000	10010006	32	7	1
	10010000	10010006	32	7	1
	10010000	10010006	32	7	1
	10010000	10010006	32	7	1
	10010000	10010007	32	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	1
	10010000	10010007	30	7	2
	10010000	10010007	30	8	2
	10010000	10010007	30	8	2
	10010000	10010007	30	8	2
	10010000	10010007	30	8	2
	10010000	10010008	30	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	2
	10010000	10010008	31	8	3
	10010000	10010008	31	9	3
	10010000	10010008	31	9	3
	10010000	10010008	31	9	3
	10010000	10010008	31	9	3
	10010000	10010009	31	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	3
	10010000	10010009	39	9	4
	10010000	10010009	39	a	4
	10010000	10010009	39	a	4
	10010000	10010009	39	a	4
	10010000	10010009	39	a	4
	10010000	1001000a	39	a	4
	10010000	1001000a	a	a	4
	10010000	1001000a	a	a	4
	10010000	1001000a	a	a	4
	10010000	1001000a	a	a	4
	10010000	1001000a	a	a	4
	10010000	1001000a	a	b	4
	10010000	1001000a	a	b	4
	10010000	1001000a	a	b	4
	10010000	1001000a	a	b	4
	10010000	1001000b	a	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	4
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
	10010000	1001000b	0	b	1
